
*** Testing procedure CalcFrequency ***

   0 2535538.000000 2535538.000000      2611870.000000 2611870.000000
   1   56815.967489   56815.967489         2951.284548    2951.284549
   2   20932.567275   20932.567275        85310.894200   85310.894200
   3   53255.869725   53255.869725        32744.446707   32744.446707
   4  135056.009842  135056.009842       -61520.730733  -61520.730733
   5  -97610.153835  -97610.153835        80016.974218   80016.974218
   6   -9424.035118   -9424.035118      -117900.118873 -117900.118873
   7   18613.005201   18613.005201        16811.541481   16811.541481
   8  -24137.100999  -24137.100999        39685.967328   39685.967328
   9  -48794.025805  -48794.025805       127395.492617  127395.492617
  10  -16997.429833  -16997.429833      -133791.848810 -133791.848810
  11   22044.795928   22044.795928       -29989.427745  -29989.427745
  12    2328.601806    2328.601806       -21716.758859  -21716.758859
  13  -28048.419796  -28048.419796        97545.861173   97545.861173
  14   89989.836893   89989.836893       -74144.508752  -74144.508752
  15    4013.915876    4013.915876       -38641.728327  -38641.728327
  16  -65729.213811  -65729.213811       -58489.377260  -58489.377260
  17  -17121.711015  -17121.711015       -17589.151770  -17589.151770
  18  -43060.293249  -43060.293249        61798.710875   61798.710875
  19  -41323.613118  -41323.613118       -58449.117015  -58449.117015
  20  -61522.095235  -61522.095235       120344.020579  120344.020579
  21  -39443.144471  -39443.144471        -4260.050077   -4260.050077
  22  -31864.944276  -31864.944276        12502.193842   12502.193842
  23  -50324.982767  -50324.982767      -147900.006378 -147900.006378
  24   90509.465700   90509.465700        65541.541329   65541.541329
  25   18638.297523   18638.297523        99870.914084   99870.914084
  26   21972.413567   21972.413567       -76672.265675  -76672.265675
  27  -25383.641248  -25383.641248        40778.828644   40778.828644
  28  118019.648586  118019.648586        11648.096389   11648.096389
  29   82599.441160   82599.441160        81978.147034   81978.147034
  30    9676.988861    9676.988861       -22517.520113  -22517.520113
  31   13562.172184   13562.172184       -14154.682226  -14154.682226
  32  -60086.142485  -60086.142485       -18639.228469  -18639.228469
  33 -138429.481746 -138429.481746        16025.565482   16025.565482
  34  -14486.180210  -14486.180210        84455.385636   84455.385636
  35  -91143.030733  -91143.030733       -44821.882931  -44821.882931
  36 -153251.212345 -153251.212345        81744.685715   81744.685715
  37 -143336.067984 -143336.067984       -47302.747645  -47302.747645
  38  -48524.560605  -48524.560605          699.269042     699.269042
  39   44005.239814   44005.239814       -25772.475246  -25772.475246
  40   -7249.627637   -7249.627637        26999.334825   26999.334825
  41  111028.565986  111028.565986       -37965.931745  -37965.931745
  42  -50352.910713  -50352.910713         5410.336542    5410.336542
  43  -20838.413637  -20838.413637       -35088.511408  -35088.511408
  44   86214.175807   86214.175807        36785.373346   36785.373346
  45    4087.431687    4087.431687       -24075.055147  -24075.055147
  46  -34525.967472  -34525.967472        92552.898063   92552.898063
  47   32040.744955   32040.744955        -4980.363901   -4980.363901
  48  -36418.619721  -36418.619721        47105.206320   47105.206320
  49   54265.397782   54265.397782        84470.518468   84470.518468
  50   76461.809210   76461.809210         3173.116379    3173.116379
  51   44362.631393   44362.631393        -9763.145233   -9763.145233
  52  -17553.792169  -17553.792169        21202.967492   21202.967492
  53  116152.168379  116152.168379       -72474.337109  -72474.337109
  54  -31784.447998  -31784.447998       -38544.484375  -38544.484375
  55    1195.658820    1195.658820        19989.132520   19989.132520
  56  145371.289227  145371.289227       -85393.907136  -85393.907136
  57   26544.379017   26544.379016      -186587.135296 -186587.135296
  58  118586.956777  118586.956777        93356.138872   93356.138872
  59    -985.990925    -985.990925       -54261.863110  -54261.863110
  60  -23275.035587  -23275.035587       -49475.533025  -49475.533025
  61   98423.777591   98423.777591       -23141.649117  -23141.649117
  62   72714.534623   72714.534623       -77815.674958  -77815.674958
  63   22945.918569   22945.918569        -8177.521000   -8177.521000
  64  -36040.864812  -36040.864812        32162.202928   32162.202928
  65  -64738.485727  -64738.485727         2133.788236    2133.788236
  66  -24366.346548  -24366.346548       104644.110312  104644.110312
  67  -29062.089272  -29062.089272        -3175.668414   -3175.668414
  68   16432.712451   16432.712451       -14335.191282  -14335.191282
  69  147726.752947  147726.752947         8491.447784    8491.447784
  70  -87193.014382  -87193.014382      -118189.567830 -118189.567830
  71   34844.767504   34844.767504       -24908.522275  -24908.522275
  72  118209.131969  118209.131969       -78579.489877  -78579.489877
  73  -51622.070210  -51622.070210        34583.387793   34583.387793
  74   77720.765609   77720.765609       -44113.447666  -44113.447666
  75  -18150.896657  -18150.896657        38631.851157   38631.851157
  76  -21798.760699  -21798.760699       -28905.518200  -28905.518200
  77    -954.810426    -954.810426       -29605.540002  -29605.540002
  78   15058.603813   15058.603813        20862.825828   20862.825828
  79  166268.896203  166268.896203        89014.975759   89014.975759
  80   77366.899986   77366.899986       -69485.011544  -69485.011544
  81  -55222.894269  -55222.894269        79815.543436   79815.543436
  82     267.015071     267.015071       -39174.612492  -39174.612492
  83   79005.698169   79005.698169        38440.292692   38440.292692
  84   57428.629927   57428.629927       -86697.633705  -86697.633705
  85  -24247.748619  -24247.748619       -22549.210693  -22549.210693
  86  -50022.052541  -50022.052541       -68091.624603  -68091.624603
  87   22455.455021   22455.455021        29284.008451   29284.008451
  88   36703.941619   36703.941619      -125409.444184 -125409.444184
  89  -67003.362761  -67003.362761       161316.897415  161316.897415
  90   17862.061482   17862.061482        34635.326927   34635.326927
  91  129394.125260  129394.125260       -56579.364368  -56579.364368
  92  -82958.820903  -82958.820903        26753.189757   26753.189757
  93  -72585.442674  -72585.442674      -136755.525797 -136755.525797
  94  -83786.395015  -83786.395015       -51731.150049  -51731.150049
  95   -3251.406050   -3251.406050        45104.911092   45104.911092
  96  -54210.431824  -54210.431824        72081.275744   72081.275744
  97  -16778.168155  -16778.168155        20521.654375   20521.654375
  98  -24854.781251  -24854.781251       -29781.012899  -29781.012899
  99  -61614.939030  -61614.939030       -58977.133873  -58977.133873
 100  -20992.408149  -20992.408149      -114914.934986 -114914.934986
 101   53744.721744   53744.721744      -162631.411572 -162631.411572
 102  -90139.269917  -90139.269917        15161.997161   15161.997161
 103  160605.778009  160605.778009       -73729.101516  -73729.101516
 104   14359.023584   14359.023584        74472.724892   74472.724892
 105  -36596.237822  -36596.237822         3662.485893    3662.485893
 106  -69822.887770  -69822.887770        45453.195530   45453.195530
 107  101799.139453  101799.139453        57140.857837   57140.857837
 108  -86196.915670  -86196.915670        82024.666524   82024.666524
 109   11311.796514   11311.796514        28958.649194   28958.649194
 110   17222.480584   17222.480584       -27294.906286  -27294.906286
 111   85319.216366   85319.216366        53250.395594   53250.395594
 112 -115616.825719 -115616.825719        37218.418938   37218.418938
 113   20868.454557   20868.454557       -38645.027864  -38645.027864
 114   35827.079357   35827.079357        13942.914395   13942.914395
 115   28696.917445   28696.917445         7470.746676    7470.746676
 116  -50961.550967  -50961.550967       -14213.907933  -14213.907933
 117   18474.836713   18474.836713       -29421.962511  -29421.962511
 118   30197.461368   30197.461368        65624.575224   65624.575224
 119  -48934.081768  -48934.081768       -22798.179832  -22798.179832
 120  -27941.771268  -27941.771268        50957.877635   50957.877635
 121   20978.247283   20978.247283        26268.791988   26268.791988
 122    2789.553998    2789.553998       -78757.561167  -78757.561167
 123  -47362.236641  -47362.236641       -21966.397131  -21966.397131
 124  133521.871936  133521.871936       -58396.000975  -58396.000975
 125  -24606.297324  -24606.297324       -57934.955668  -57934.955668
 126   -9221.132616   -9221.132616         1263.359129    1263.359129
 127   25787.837871   25787.837871       -24242.094840  -24242.094840
 128  -54772.000000  -54772.000000       -27898.000000  -27898.000000
 129  110568.690888  110568.690888        68769.962392   68769.962392
 130  -27966.464546  -27966.464546        78018.233028   78018.233028
 131   -5445.269502   -5445.269502      -110795.808518 -110795.808518
 132   64856.241942   64856.241942       -92852.339709  -92852.339709
 133   55554.594754   55554.594754          231.629225     231.629225
 134  -46217.244595  -46217.244595        52825.872211   52825.872211
 135   56109.950990   56109.950990       -88688.472362  -88688.472362
 136   87693.730803   87693.730803       -28969.023685  -28969.023685
 137  -72440.559490  -72440.559490        52112.738721   52112.738721
