Simplex
Iter         F
   1    1.0100E+002
   2    1.0100E+002
   3    3.2203E+001
   4    3.2203E+001
   5    3.2203E+001
   6    1.2164E+001
   7    1.2321E+000
   8    1.2321E+000
   9    8.4144E-001
  10    8.4144E-001
  11    6.6100E-001
  12    3.3687E-001
  13    3.3687E-001
  14    3.3687E-001
  15    3.3687E-001
  16    3.1893E-001
  17    3.0746E-001
  18    3.0360E-001
  19    2.9298E-001
  20    2.8005E-001
  21    2.8005E-001
  22    2.5938E-001
  23    2.5938E-001
  24    2.5611E-001
  25    1.8342E-001
  26    1.8342E-001
  27    1.8241E-001
  28    1.4524E-001
  29    1.4524E-001
  30    9.1854E-002
  31    9.1854E-002
  32    9.1854E-002
  33    9.0265E-002
  34    5.6475E-002
  35    2.7118E-002
  36    2.7118E-002
  37    1.3105E-002
  38    3.9141E-004
  39    3.9141E-004
  40    3.9141E-004
  41    3.9141E-004
  42    3.9141E-004
  43    3.9141E-004
  44    3.9141E-004
  45    3.9141E-004
  46    3.2379E-005
  47    3.2379E-005
  48    3.2379E-005
  49    3.2379E-005
  50    2.0245E-005
  51    1.2739E-005
  52    3.2379E-006
  53    2.8972E-006
  54    2.1502E-006
  55    1.5456E-007
  56    1.5456E-007
  57    1.5456E-007
  58    1.4977E-007
  59    1.2489E-007
  60    2.8624E-008
  61    1.3276E-008
  62    6.2497E-009
  63    2.7758E-009
  64    1.9049E-009
  65    7.2626E-010
  66    4.5770E-010
  67    1.4557E-010
  68    9.6878E-011
  69    4.2092E-011
  70    3.0398E-011
  71    1.7337E-011
  72    1.3888E-012
  73    1.3888E-012
  74    1.3888E-012
  75    1.3888E-012
  76    5.4876E-013
