Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
   0    8.4800E+005    1.0762E+005    97    45
   1    7.6320E+005    2.7639E+003    94    48
   2    6.8688E+005    7.5740E+004    99    45
   3    6.1819E+005    1.3828E+005   104    43
   4    5.5637E+005    6.5575E+004    97    41
   5    5.0074E+005    2.7602E+005   100    48
   6    4.5066E+005    2.2256E+005   103    41
   7    4.0560E+005    2.5432E+005    95    46
   8    3.6504E+005    6.6559E+004   108    46
   9    3.2853E+005    4.6074E+005   109    43
  10    2.9568E+005    8.4466E+001    99    52
  11    2.6611E+005    7.5924E+004   102    43
  12    2.3950E+005    1.3376E+004   113    41
  13    2.1555E+005    3.3312E+005   107    51
  14    1.9400E+005    2.6525E+004   104    48
  15    1.7460E+005    1.0088E+002   103    51
  16    1.5714E+005    9.5692E+003   112    47
  17    1.4142E+005    2.2708E+004   105    39
  18    1.2728E+005    8.9945E+000   107    45
  19    1.1455E+005    2.8182E+003   109    43
  20    1.0310E+005    7.2609E+001   114    47
  21    9.2787E+004    6.6890E+003   113    40
  22    8.3509E+004    2.2596E+004   105    44
  23    7.5158E+004    1.8529E+001   110    45
  24    6.7642E+004    1.3879E+003   107    42
  25    6.0878E+004    1.7110E+004   111    40
  26    5.4790E+004    3.1812E+004   101    46
  27    4.9311E+004    5.2235E+001   106    41
  28    4.4380E+004    8.5093E+003   111    42
  29    3.9942E+004    2.8186E+004   107    56
  30    3.5948E+004    4.1830E+000   107    36
  31    3.2353E+004    3.5488E+003   112    44
  32    2.9118E+004    2.1132E+004   112    40
  33    2.6206E+004    1.3084E+004   101    48
  34    2.3585E+004    3.4365E+003   106    50
  35    2.1227E+004    3.4251E+002   115    40
  36    1.9104E+004    1.3027E+004   113    39
  37    1.7194E+004    4.2230E+003   109    39
  38    1.5474E+004    2.0960E+002   119    40
  39    1.3927E+004    4.4814E+003   116    38
  40    1.2534E+004    5.9697E+003   121    42
  41    1.1281E+004    3.0540E+004   105    35
  42    1.0153E+004    1.1849E+003   115    41
  43    9.1374E+003    9.9828E+001   113    33
  44    8.2237E+003    5.2678E+000   112    38
  45    7.4013E+003    4.7001E+003   115    35
  46    6.6612E+003    5.7595E+002   115    43
  47    5.9951E+003    1.2026E+003   113    39
  48    5.3956E+003    1.1513E+001   108    34
  49    4.8560E+003    6.6172E+002   119    37
  50    4.3704E+003    1.3709E+002   112    33
  51    3.9334E+003    2.2055E+002   108    37
  52    3.5400E+003    4.9382E+000   110    36
  53    3.1860E+003    4.2863E+002   106    27
  54    2.8674E+003    6.8823E+002   119    35
  55    2.5807E+003    4.0714E+002   113    42
  56    2.3226E+003    6.0797E+001   117    32
  57    2.0904E+003    3.3124E+003   111    36
  58    1.8813E+003    7.0301E+001   106    48
  59    1.6932E+003    3.5211E+001   115    39
  60    1.5239E+003    1.3142E+002   116    28
  61    1.3715E+003    1.2559E+002   112    39
  62    1.2343E+003    4.2634E+000   115    36
  63    1.1109E+003    3.1564E+002   107    39
  64    9.9981E+002    1.0082E+002   106    38
  65    8.9983E+002    4.2810E+001   116    34
  66    8.0984E+002    1.0176E+001   117    40
  67    7.2886E+002    4.6581E+002   118    39
  68    6.5597E+002    3.6621E+001   110    38
  69    5.9038E+002    5.7403E+001   106    34
  70    5.3134E+002    6.6248E+000   113    37
  71    4.7821E+002    3.9100E+002   124    30
  72    4.3038E+002    4.7493E+000   106    41
  73    3.8735E+002    3.7835E+002   126    25
  74    3.4861E+002    6.1333E+000   103    54
  75    3.1375E+002    1.2447E+000   107    35
  76    2.8238E+002    3.3933E+002   115    42
  77    2.5414E+002    2.3040E+002   113    32
  78    2.2872E+002    1.7074E+001   115    34
  79    2.0585E+002    7.2468E+000   114    39
  80    1.8527E+002    5.1943E+000   108    45
  81    1.6674E+002    1.1208E+002   114    40
  82    1.5007E+002    1.0813E+001   105    39
  83    1.3506E+002    5.7312E-001   109    35
  84    1.2155E+002    1.1241E+000   112    40
  85    1.0940E+002    9.4914E+001   119    33
  86    9.8458E+001    2.3911E+002   109    43
  87    8.8612E+001    2.5155E+002   116    28
  88    7.9751E+001    7.5397E+001   109    51
  89    7.1776E+001    4.9010E+000   113    37
  90    6.4598E+001    3.0977E+000   112    36
  91    5.8139E+001    2.0632E+001   113    40
  92    5.2325E+001    9.0252E-001   113    34
  93    4.7092E+001    5.8534E+001   120    31
  94    4.2383E+001    3.0732E+001   114    37
  95    3.8145E+001    2.6619E+001   102    40
  96    3.4330E+001    3.6126E+000   110    44
  97    3.0897E+001    2.0063E-001   121    32
  98    2.7807E+001    2.7577E-001   114    44
  99    2.5027E+001    1.1521E+000   116    30
 100    2.2524E+001    4.0589E-001   113    36
 101    2.0272E+001    3.2132E+000   116    39
 102    1.8244E+001    6.9753E-001   112    37
 103    1.6420E+001    2.4584E+000   110    35
 104    1.4778E+001    3.3487E+000   104    39
 105    1.3300E+001    8.4099E-001   107    36
 106    1.1970E+001    2.8579E-001   122    26
 107    1.0773E+001    2.7163E+000   107    43
 108    9.6959E+000    1.1700E+001   120    37
 109    8.7263E+000    4.4938E-001   108    37
 110    7.8537E+000    7.9741E-001   103    37
 111    7.0683E+000    2.3097E+000   113    37
 112    6.3615E+000    1.1902E+000   110    50
 113    5.7253E+000    3.7023E+000   116    33
 114    5.1528E+000    5.4954E+000   118    35
 115    4.6375E+000    1.4520E+000   111    36
 116    4.1738E+000    2.2559E+000   109    36
 117    3.7564E+000    1.2661E+000   102    43
 118    3.3807E+000    1.7169E+000   115    39
 119    3.0427E+000    1.8085E+001   117    36
 120    2.7384E+000    9.1541E-001   116    39
 121    2.4646E+000    8.1997E-001   117    36
 122    2.2181E+000    8.0167E-001   112    38
 123    1.9963E+000    1.6416E+000   116    36
 124    1.7967E+000    2.0744E+000   111    38
 125    1.6170E+000    7.7696E-001   115    37
 126    1.4553E+000    5.4370E+000   113    37
 127    1.3098E+000    1.4952E+000   111    38
 128    1.1788E+000    9.3636E-001   110    36
 129    1.0609E+000    9.5327E-001   113    31
 130    9.5482E-001    5.4769E-001   121    31
 131    8.5934E-001    9.2158E-001   113    47
 132    7.7341E-001    1.4565E+000   127    31
 133    6.9606E-001    9.4043E-001    98    46
 134    6.2646E-001    7.9028E-001   113    36
 135    5.6381E-001    9.9817E-001   121    32
 136    5.0743E-001    1.6388E+000   116    35
 137    4.5669E-001    9.2285E-001   113    37
 138    4.1102E-001    1.2021E+000   117    34
 139    3.6992E-001    9.8655E-001   117    49
 140    3.3293E-001    1.0899E+000    98    43
 141    2.9963E-001    8.2400E-001   110    35
 142    2.6967E-001    7.9167E-001   118    39
 143    2.4270E-001    1.1342E+000   111    35
 144    2.1843E-001    8.0413E-001   117    41
 145    1.9659E-001    1.9674E+000   109    36
 146    1.7693E-001    1.1526E+000   112    31
 147    1.5924E-001    8.1850E-001   118    36
 148    1.4331E-001    7.9242E-001   109    46
 149    1.2898E-001    7.3542E-001   122    31
 150    1.1608E-001    6.3882E-001   124    31
 151    1.0448E-001    6.3052E-001   107    35
 152    9.4028E-002    5.3840E-001   115    37
 153    8.4625E-002    7.4447E-001   115    42
 154    7.6163E-002    5.5918E-001   110    32
 155    6.8546E-002    5.1353E-001   114    34
 156    6.1692E-002    4.9653E-001   118    40
 157    5.5523E-002    4.4716E-001   110    34
 158    4.9970E-002    2.2521E-001   103    35
 159    4.4973E-002    1.7683E-001   110    32
 160    4.0476E-002    1.0239E-002   111    30
