Trinormal distribution
 Iter        X1        X2        X3
    1    1.0371    2.1522    2.9609
    2    0.9890    2.0336    3.1623
    3    0.9773    1.8816    2.9856
    4    0.9697    1.7576    3.1031
    5    0.9612    1.8573    3.1896
    6    0.9404    1.6924    3.1119
    7    0.9587    1.8354    2.9594
    8    1.0326    2.0239    2.9419
    9    0.8783    1.7692    2.7143
   10    0.8440    2.1386    2.4180
   11    0.9197    2.3035    2.7167
   12    0.8913    2.2725    2.3634
   13    0.9493    2.1827    2.8758
   14    0.9631    2.2670    2.6431
   15    0.9050    2.0182    2.4529
   16    0.8969    1.8075    2.4399
   17    0.9265    1.8911    2.7516
   18    0.9229    2.1538    2.4598
   19    0.9243    1.8767    3.1253
   20    0.9586    1.6549    3.2099
   21    1.0367    1.6996    3.5724
   22    1.0571    1.6015    3.5150
   23    1.0693    1.6676    3.2540
   24    1.0466    2.2456    2.8429
   25    1.0209    2.3416    2.9568
   26    1.0658    2.3481    3.2052
   27    1.0459    2.4345    3.0347
   28    1.0855    2.3265    2.8755
   29    0.9936    2.2794    2.9079
   30    0.9036    2.1826    3.1158
   31    0.9499    1.9117    3.4294
   32    0.9944    1.7266    3.2282
   33    0.8651    1.7182    2.7090
   34    0.8205    1.8587    2.5327
   35    0.9925    2.0405    2.8088
   36    1.0612    2.0614    2.9280
   37    1.1423    2.4691    2.8983
   38    1.2272    2.1600    3.0044
   39    1.2306    2.1061    3.1109
   40    1.2401    1.9198    3.2626
   41    1.2406    1.7918    3.3649
   42    1.2532    2.0177    3.3244
   43    1.2266    1.8382    3.5693
   44    0.9972    1.6793    2.8826
   45    0.8525    1.6194    2.9295
   46    0.9534    1.6393    2.8726
   47    0.9549    1.9100    2.8145
   48    1.0771    2.2123    2.6859
   49    1.0874    1.8807    3.2497
   50    1.0059    1.8603    3.4015
   51    0.9994    1.9533    3.1583
   52    1.0457    1.9545    3.4791
   53    1.1490    1.9080    3.2192
   54    1.0884    1.8849    3.0793
   55    0.9817    1.7522    3.0438
