R;N;ln(N)/ln(R)
  1;     13;0,00
  2;     55;3,65
  3;    175;3,73
  4;    381;3,69
  5;    721;3,67
  6;   1215;3,65
  7;   1927;3,64
  8;   2833;3,62
  9;   3977;3,60
 10;   5447;3,59
 11;   7207;3,57
 12;   9211;3,56
 13;  11775;3,55
 14;  14665;3,54
 15;  17981;3,53
 16;  21727;3,52
 17;  25963;3,52
 18;  30715;3,51
 19;  36093;3,50
 20;  42073;3,50
 21;  48651;3,49
 22;  55863;3,49
 23;  63727;3,48
 24;  72131;3,48
 25;  81671;3,47
 26;  91759;3,47
 27; 102659;3,46
 28; 114397;3,46
 29; 126951;3,46
 30; 140393;3,45
 31; 154765;3,45
 32; 170073;3,44
 33; 186565;3,44
 34; 203847;3,44
 35; 222381;3,44
 36; 241533;3,43
 37; 262269;3,43
 38; 283981;3,43
 39; 306883;3,42
 40; 330863;3,42
 41; 356163;3,42
 42; 382827;3,42
 43; 410493;3,42
 44; 439695;3,41
 45; 470419;3,41
 46; 502237;3,41
 47; 535591;3,41
 48; 570109;3,41
 49; 606321;3,40
 50; 644167;3,40
 51; 683329;3,40
 52; 724139;3,40
 53; 766537;3,40
 54; 810435;3,40
 55; 856161;3,39
 56; 903551;3,39
 57; 952793;3,39
 58;1003233;3,39
 59;1056205;3,39
 60;1110347;3,39
 61;1166457;3,38
 62;1225011;3,38
 63;1284833;3,38
 64;1346831;3,38
 65;1410641;3,38
 66;1476393;3,38
 67;1544365;3,38
 68;1614283;3,38
 69;1686585;3,37
 70;1760371;3,37
 71;1836757;3,37
 72;1914771;3,37
 73;1996031;3,37
 74;2078721;3,37
 75;2163817;3,37
 76;2251299;3,37
 77;2341205;3,37
 78;2433297;3,37
 79;2527643;3,36
 80;2624185;3,36
 81;2723893;3,36
 82;2825743;3,36
 83;2930405;3,36
 84;3036805;3,36
 85;3146611;3,36
 86;3258363;3,36
 87;3373043;3,36
 88;3490593;3,36
 89;3610169;3,36
 90;3733435;3,35
 91;3859287;3,35
 92;3987129;3,35
 93;4118217;3,35
 94;4252149;3,35
 95;4388875;3,35
 96;4528463;3,35
 97;4671523;3,35
 98;4816921;3,35
 99;4965201;3,35
100;5117417;3,35
101;5272175;3,35
102;5429251;3,35
103;5590795;3,35
104;5754227;3,34
105;5922349;3,34
106;6092241;3,34
107;6265951;3,34
108;6442613;3,34
109;6623189;3,34
110;6806189;3,34
111;6993015;3,34
112;7183881;3,34
113;7377393;3,34
114;7574769;3,34
115;7776133;3,34
116;7979637;3,34
117;8187693;3,34
118;8398471;3,34
119;8613743;3,34
120;8831855;3,33
121;9054015;3,33
122;9280223;3,33
123;9509441;3,33
124;9743315;3,33
125;9980783;3,33
126;10221483;3,33
127;10466277;3,33
128;10714743;3,33
129;10967095;3,33
130;11224265;3,33
131;11484851;3,33
132;11748867;3,33
133;12018201;3,33
134;12291289;3,33
135;12567131;3,33
136;12848277;3,33
137;13133307;3,33
138;13421717;3,33
139;13716009;3,33
140;14013047;3,33
141;14315039;3,32
142;14620709;3,32
143;14932239;3,32
144;15246391;3,32
145;15566337;3,32
146;15890333;3,32
147;16218717;3,32
148;16550889;3,32
149;16888341;3,32
150;17229927;3,32
151;17576721;3,32
152;17927579;3,32
153;18282961;3,32
154;18642967;3,32
155;19008981;3,32
